Round,Defender_ID,Defender_Source,SAC_Wins,Entropy_Wins,SAC_Auto_Reject,Entropy_Auto_Reject,SAC_Queries,Entropy_Queries
1,33,Entropy,0,0,0,211,0,20
2,33,Entropy,0,0,41,251,0,11
3,33,Entropy,0,0,79,320,0,1
4,33,Entropy,0,0,96,304,0,0
5,112,Entropy,0,0,95,294,0,9
1,37,Entropy,0,0,0,395,0,5
2,37,Entropy,0,0,43,206,0,20
3,37,Entropy,0,0,0,0,0,20
4,37,Entropy,0,0,0,0,0,20
5,50,Entropy,0,0,52,63,0,20
1,92,Entropy,0,0,0,398,0,2
2,92,Entropy,0,0,34,366,0,0
3,122,SAC,0,0,27,362,8,0
4,141,SAC,0,0,49,340,7,0
5,141,SAC,0,0,51,342,5,0
1,16,Entropy,0,0,0,0,0,20
1,10,Entropy,0,0,0,0,0,20
2,10,Entropy,0,0,0,4,10,10
3,127,SAC,0,0,0,75,13,7
4,127,SAC,1,0,0,14,14,6
5,166,SAC,0,0,0,0,19,1
1,97,Entropy,0,0,0,392,0,8
2,108,SAC,0,0,18,379,2,0
3,124,SAC,0,0,33,350,10,0
4,146,SAC,0,0,20,346,18,0
5,146,SAC,0,0,24,359,10,0
1,84,Entropy,0,0,0,388,0,10
2,107,SAC,0,0,15,382,3,0
3,122,SAC,0,0,0,0,12,8
1,65,Entropy,0,0,0,10,0,20
2,65,Entropy,0,0,0,0,5,15
3,123,SAC,0,0,36,306,8,11
4,141,SAC,0,0,26,342,14,2
1,96,Entropy,0,0,0,397,0,3
2,112,Entropy,0,0,30,368,1,1
3,112,Entropy,0,0,62,337,0,1
4,148,SAC,0,0,45,344,9,0
5,148,SAC,0,0,68,332,0,0
1,98,Entropy,0,0,0,400,0,0
1,47,Entropy,0,0,0,394,0,5
2,47,Entropy,0,0,36,364,0,0
3,47,Entropy,0,0,60,340,0,0
4,47,Entropy,0,0,85,315,0,0
5,47,Entropy,0,0,107,293,0,0
1,9,Entropy,0,0,0,399,0,1
2,104,SAC,0,0,11,382,5,0
3,104,SAC,0,0,42,357,1,0
4,104,SAC,0,0,59,339,2,0
5,169,SAC,0,0,78,317,4,0
1,86,Entropy,0,0,0,400,0,0
2,106,SAC,0,0,9,382,7,0
1,97,Entropy,0,0,0,400,0,0
2,97,Entropy,0,0,36,364,0,0
3,128,SAC,0,0,41,352,4,1
4,141,SAC,0,0,79,320,1,0
5,160,SAC,0,0,90,310,0,0
1,5,Entropy,0,0,0,0,0,5
1,29,Entropy,0,2,0,390,0,6
2,29,Entropy,0,1,33,361,0,5
3,123,SAC,0,0,55,345,0,0
4,123,SAC,0,0,69,326,5,0
5,159,SAC,0,0,68,320,9,0
1,93,Entropy,0,1,0,307,0,14
2,106,SAC,0,0,12,343,18,0
3,160,SAC,0,0,149,251,0,0
4,160,SAC,0,0,108,241,10,0
5,230,SAC,0,0,157,230,8,0
1,53,Entropy,0,0,0,199,0,1
2,131,Entropy,0,0,51,145,0,4
3,145,SAC,0,0,45,132,10,0
